# x (m),channel 1, channel 2
-7.179786524349566221e-04,5.538626447056825830e-01,5.509300822898074435e-01
-7.169779853235490330e-04,5.550818445750385077e-01,5.521079129937019880e-01
-7.159773182121414439e-04,5.562961348504744663e-01,5.532805677632032237e-01
-7.149766511007338548e-04,5.575055741927397168e-01,5.544481688694359311e-01
-7.139759839893262657e-04,5.587102212625836284e-01,5.556108385835251129e-01
-7.129753168779186766e-04,5.599101347207555701e-01,5.567686991765958826e-01
-7.119746497665109791e-04,5.611053732280046891e-01,5.579218729197732429e-01
-7.109739826551033899e-04,5.622959954450806874e-01,5.590704820841820855e-01
-7.099733155436958008e-04,5.634820600327326012e-01,5.602146489409476349e-01
-7.089726484322882117e-04,5.646636256517099106e-01,5.613544957611948938e-01
-7.079719813208806226e-04,5.658407509627618737e-01,5.624901448160487538e-01
-7.069713142094730335e-04,5.670134946266380815e-01,5.636217183766342176e-01
-7.059706470980654444e-04,5.681819153040876813e-01,5.647493387140763987e-01
-7.049699799866577469e-04,5.693460716558598200e-01,5.658731280995001889e-01
-7.039693128752501578e-04,5.705060223427044219e-01,5.669932088040308127e-01
-7.029686457638425687e-04,5.716618260253703010e-01,5.681097030987930507e-01
-7.019679786524349796e-04,5.728135413646069374e-01,5.692227332549122387e-01
-7.009673115410273905e-04,5.739612270211639222e-01,5.703324215435130462e-01
-6.999666444296198014e-04,5.751049416557275640e-01,5.714388902356587474e-01
-6.989659773182122122e-04,5.762835802127030949e-01,5.725625785900957387e-01
-6.979653102068045147e-04,5.774503618118421722e-01,5.736719746946384868e-01
-6.969646430953969256e-04,5.786054978489453271e-01,5.747752878302594404e-01
-6.959639759839893365e-04,5.797556109808762459e-01,5.758650585216932294e-01
-6.949633088725817474e-04,5.808807352556806247e-01,5.769459120110919104e-01
-6.939626417611741583e-04,5.819856911780449948e-01,5.780308519118582122e-01
-6.929619746497665692e-04,5.830727794657609708e-01,5.791087155536333020e-01
-6.919613075383589801e-04,5.841454517366329036e-01,5.801821101273850756e-01
-6.909606404269512826e-04,5.852088039592039381e-01,5.812345239915446271e-01
-6.899599733155436935e-04,5.862543130707806860e-01,5.823018033195889176e-01
-6.889593062041361043e-04,5.873141910930610443e-01,5.833772867241600046e-01
-6.879586390927285152e-04,5.884052646398564290e-01,5.844366256645184832e-01
-6.869579719813209261e-04,5.895044009393005657e-01,5.855132119561792248e-01
-6.859573048699133370e-04,5.905954927923460218e-01,5.865949829516522440e-01
-6.849566377585057479e-04,5.916744548303700668e-01,5.876685372196045476e-01
-6.839559706470980504e-04,5.927431787763108861e-01,5.887389989768115894e-01
-6.829553035356904613e-04,5.938205975678021442e-01,5.898072619273490025e-01
-6.819546364242828722e-04,5.948670665586121009e-01,5.908704502969353012e-01
-6.809539693128752831e-04,5.959095003962325832e-01,5.919222542574897883e-01
-6.799533022014676940e-04,5.969391238084311713e-01,5.929681233728526513e-01
